"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"1","9.58","+0.9","Usain BOLT","21 AUG 1986","JAM","1","Olympiastadion, Berlin (GER)","16 AUG 2009","1356","2009"
"2","9.69","+2.0","Tyson GAY","09 AUG 1982","USA","1","Shanghai (CHN)","20 SEP 2009","1316","2009"
"2","9.69","-0.1","Yohan BLAKE","26 DEC 1989","JAM","1","Stade Olympique de la Pontaise, Lausanne (SUI)","23 AUG 2012","1316","2012"
"4","9.72","+0.2","Asafa POWELL","23 NOV 1982","JAM","1f1","Stade Olympique de la Pontaise, Lausanne (SUI)","02 SEP 2008","1305","2008"
"5","9.74","+0.9","Justin GATLIN","10 FEB 1982","USA","1","Suhaim bin Hamad Stadium, Doha (QAT)","15 MAY 2015","1298","2015"
"6","9.76","+0.6","Christian COLEMAN","06 MAR 1996","USA","1","Khalifa International Stadium, Doha (QAT)","28 SEP 2019","1291","2019"
"6","9.76","+1.2","Trayvon BROMELL","10 JUL 1995","USA","1","Moi International Sports Centre, Kasarani, Nairobi (KEN)","18 SEP 2021","1291","2021"
"6","9.76","+1.4","Fred KERLEY","07 MAY 1995","USA","1sf1","Hayward Field, Eugene, OR (USA)","24 JUN 2022","1291","2022"
"9","9.77","+1.2","Ferdinand OMANYALA","02 JAN 1996","KEN","2","Moi International Sports Centre, Kasarani, Nairobi (KEN)","18 SEP 2021","1287","2021"
"10","9.78","+0.9","Nesta CARTER","11 OCT 1985","JAM","1","Stadio Guidobaldi, Rieti (ITA)","29 AUG 2010","1283","2010"
"11","9.79","+0.1","Maurice GREENE","23 JUL 1974","USA","1f3","Athina (GRE)","16 JUN 1999","1280","1999"
"12","9.80","+1.3","Steve MULLINGS","29 NOV 1982","JAM","1","Hayward Field, Eugene, OR (USA)","04 JUN 2011","1276","2011"
"12","9.80","+0.1","Lamont Marcell JACOBS","26 SEP 1994","ITA","1","National Stadium, Tokyo (JPN)","01 AUG 2021","1276","2021"
"14","9.82","+1.7","Richard THOMPSON","07 JUN 1985","TTO","1f2","Port-of-Spain (TTO)","21 JUN 2014","1269","2014"
"14","9.82","+0.9","Oblique SEVILLE","16 MAR 2001","JAM","1","National Stadium, Kingston (JAM)","01 JUN 2024","1269","2024"
"16","9.83","+0.9","Bingtian SU","29 AUG 1989","CHN","1sf3","National Stadium, Tokyo (JPN)","01 AUG 2021","1266","2021"
"16","9.83","+0.9","Ronnie BAKER","15 OCT 1993","USA","2sf3","National Stadium, Tokyo (JPN)","01 AUG 2021","1266","2021"
"16","9.83","+1.3","Zharnel HUGHES","13 JUL 1995","GBR","1","Icahn Stadium, New York, NY (USA)","24 JUN 2023","1266","2023"
"16","9.83","0.0","Noah LYLES","18 JUL 1997","USA","1","Nemzeti Atlétikai Központ, Budapest (HUN)","20 AUG 2023","1266","2023"
"20","9.84","+0.7","Donovan BAILEY","16 DEC 1967","CAN","1","Olympic Stadium, Atlanta, GA (USA)","27 JUL 1996","1262","1996"
"20","9.84","+0.2","Bruny SURIN","12 JUL 1967","CAN","2","La Cartuja, Sevilla (ESP)","22 AUG 1999","1262","1999"
"20","9.84","+1.2","Akani SIMBINE","21 SEP 1993","RSA","1","Bregyó Athletic Center, Székesfehérvár (HUN)","06 JUL 2021","1262","2021"
"23","9.85","+1.2","Leroy BURRELL","21 FEB 1967","USA","1f3","Stade Olympique de la Pontaise, Lausanne (SUI)","06 JUL 1994","1259","1994"
"23","9.85","+1.7","Olusoji Adetokunbo FASUBA","09 JUL 1984","NGR","1","Doha (QAT)","12 MAY 2006","1259","2006"
"23","9.85","+1.3","Michael RODGERS","24 APR 1985","USA","2","Hayward Field, Eugene, OR (USA)","04 JUN 2011","1259","2011"
"23","9.85","+1.5","Marvin BRACY","15 DEC 1993","USA","2f2","Ansin Sports Complex, Miramar, FL (USA)","05 JUN 2021","1259","2021"
